"","A1_A","A1_B","AF_A","AF_B"
"LOC100251040",10297.7469871277,8445.89694321332,6991.55111743008,8259.55168510095
"LOC100245900",17309.1712471817,13009.5919403364,10939.9809331019,14950.3004435021
"LOC100240806",1705.91576941595,1756.42538926005,1904.96181752545,1755.49348611515
"LOC100263066",1310.31199475446,1819.65670327341,2142.83112772225,2044.56273940341
"LOC100257935",1847.48970907908,944.455023596404,946.458900909641,807.988711448082
"LOC100252782",182.740829919779,347.270391247987,331.210431919599,340.25860022472
"CIPK20",365.481659839557,898.28612765014,857.132451088901,766.836491361906
"LOC100258082",320.298487606645,318.16391336882,334.221435846141,282.043264493057
"LOC100242540",1551.28891332999,1677.1353288306,1919.01316918265,1810.69768379173
"LOC100252711",259.050187468697,166.609494066953,207.759270931385,168.623731084817
"MIR3631B",505.047458514553,185.679255436062,294.074716825583,168.623731084817
"LOC100264830",1182.79504200824,1225.48308587801,1686.16219886341,1261.66684508104
"LOC100259579",1182.79504200824,1193.36559304583,1356.95910289484,1175.34755416858
"LOC100249350",2841.51949820315,3637.30606324481,4180.27711801554,3469.83475214412
"LOC100244189",1097.44905001274,1178.31051828074,1013.70465526908,1068.95400955554
"LOC100266533",28.1139738338121,41.1505376912354,29.1063712899041,25.0928171257168
"LOC100259648",9068.76470239253,6305.06531161807,14945.619823378,6308.33422540521
"LOC100254530",3462.03506353515,2071.57828767585,2472.03422369082,1861.88703072819
"LOC100261325",890.610528235404,594.1736173954,672.457543594337,615.275875922577
"LOC100249428",710.88190979782,705.581170657037,719.629938443492,789.921883117566
"LOC100251077",28.1139738338121,48.1762392482756,49.1797308001829,61.2264737867491
"LOC100244262",1608.52093149168,1710.25649331379,1528.58632670772,1844.8239150827
"LOC100245936",128.521023240284,166.609494066953,165.605215959799,178.660857935104
"LOC100266602",606.458578415089,426.560451677441,338.236107748196,487.804364923935
"LOC100240841",88.3582034776951,97.356150147557,84.3081099431706,73.2710260070931
"LOC100261398",2769.22642263049,2106.70679546105,1850.7637468477,1871.92415757848
"LOC100257970",855.468060943139,1028.76344228089,1210.42357846981,960.55303957244
"LOC100247714",1143.63629273971,876.205351328013,2415.82881706204,2584.56016394883
"LOC100256302",37726.9447439877,23405.6229014539,18185.460048337,22815.3930433868
"LOC100251147",35151.5039267117,21845.917155791,24761.4926239043,17879.1340584158
"LOC100246004",17.0691983991002,21.0771046711206,17.0623555837369,24.0891044406882
"LOC100242578",20.0814098812943,11.0403881610632,21.0770274857927,20.0742537005735
"LOC100264865",268.08682191528,216.79307661724,271.994021364277,267.991286902656
"LOC100249459",3.01221148219415,57.2092841073273,71.2604262614894,52.193059621491
"LOC100240916",106.43147237086,87.3194336374996,131.480504792326,88.3267162825232
"LOC100244302",1860.54262550192,1995.29924219942,2187.99618662038,2149.95257133142
"LOC100263172",4810.50173706406,4937.06085129725,4860.76400541399,5130.97924586658
"LOC100258034",566.295758652501,832.043798683761,565.065070214346,902.337703840777
"LOC100261431",1218.94157979457,1780.51350888419,2003.32127912582,1982.33255293163
"LOC100252901",814.301170686486,731.676633583186,710.596926663866,743.751099606247
"LOC100246045",2720.02696842132,3465.67821092283,2509.16993878484,2680.91658171159
"LOC100264750",2225.02021484741,2048.49383970272,2522.21762246652,1926.12464257002
"LOC104879266",140.56986916906,301.101495301723,179.656567616994,297.098954768487
"LOC100254457",197.801887330749,186.682927087068,111.407145282047,220.816790706308
"LOC100247786",5947.10953634532,6654.34304616807,7889.83395551505,6126.66222941502
"LOC100264939",37.1506082803945,20.0734330201149,24.0880314123345,11.0408395353154
"LOC100242574",1009.09084653504,982.594546334622,1063.88805404477,785.907032377451
"LOC100259676",90.3663444658246,222.815106523275,295.078384801097,158.58660423453
"LOC100244297",1091.42462704835,884.234724536059,1159.2365117186,1209.47378545955
"LOC100246042",1504.09760010895,960.513770012496,878.209478574694,1143.22874824766
"LOC100240949",22.0895508694238,31.113821181178,37.1357150940156,17.0631156454874
"LOC100254638",2116.58060148842,2434.90742533993,2428.87650074372,2374.78421277784
"LOC100249531",8749.47028527995,8001.27040181778,5866.43931687895,6090.52857275399
"LOC100242465",490.990471597647,653.390244804738,488.786304075287,554.049402135827
"LOC104879283",58.2360886557536,42.1542093422412,50.1833987756968,62.2301864717777
"LOC100244146",4163.88033888638,2867.48990692341,2032.42765041572,2715.04281300256
"LOC100264745",390.583422191175,458.677944509624,341.247111674738,553.045689450799
"LOC100266490",2799.34853745243,1179.31418993175,1218.45292227392,1080.99856177588
"LOC100261285",2313.37841832511,1918.01652507197,2082.61104919142,1841.81277702762
"LOC100254451",1612.53721346794,1183.32887653577,1331.86740350699,1234.56660258527
"LOC100256194",2697.9374175519,2070.57461602485,2234.16491349402,2176.04910114216
"LOC100245894",13355.1416415548,7980.19329714666,8254.16543062661,8201.33634936929
"LOC100251035",104.423331382731,59.2166274093388,58.2127425798083,94.3489923926953
"LOC100240799",33.1343263041357,11.0403881610632,33.1210431919599,28.1039551808028
"LOC100244182",334.355474523551,292.068450442671,249.91332590297,288.065540603229
"LOC100257928",585.37309803973,705.581170657037,986.605619930199,814.010987558254
"LOC104879284",9.03663444658246,24.0881196241378,101.370465526908,21.0779663856021
"LOC109122663",659.674314600519,538.971676590084,569.079742116402,513.900894734681
